# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A4E5E::libc.so.6  4D 85 FF                test r15, r15
0x7F9AD43A4E61::libc.so.6  74 6D                   jz 0x7f9ad43a4ed0
0x7F9AD43A4ED0::libc.so.6  48 81 FB FF 03 00 00    cmp rbx, 0x3ff
0x7F9AD43A4ED7::libc.so.6  0F 87 8B 00 00 00       jnbe 0x7f9ad43a4f68
0x7F9AD43A4EDD::libc.so.6  89 D8                   mov eax, ebx
0x7F9AD43A4EDF::libc.so.6  C1 E8 04                shr eax, 0x4
0x7F9AD43A4EE2::libc.so.6  89 44 24 48             mov dword ptr [rsp+0x48], eax
0x7F9AD43A4EE6::libc.so.6  8B 4C 24 48             mov ecx, dword ptr [rsp+0x48]
0x7F9AD43A4EEA::libc.so.6  48 8D 45 68             lea rax, ptr [rbp+0x68]
0x7F9AD43A4EEE::libc.so.6  8D 54 09 FE             lea edx, ptr [rcx+rcx*1-0x2]
0x7F9AD43A4EF2::libc.so.6  89 D2                   mov edx, edx
0x7F9AD43A4EF4::libc.so.6  48 8D 54 D0 F0          lea rdx, ptr [rax+rdx*8-0x10]
0x7F9AD43A4EF9::libc.so.6  4C 8B 7A 18             mov r15, qword ptr [rdx+0x18]
0x7F9AD43A4EFD::libc.so.6  49 39 D7                cmp r15, rdx
0x7F9AD43A4F00::libc.so.6  0F 84 B1 00 00 00       jz 0x7f9ad43a4fb7
0x7F9AD43A4F06::libc.so.6  4D 85 FF                test r15, r15
0x7F9AD43A4F09::libc.so.6  0F 84 D1 06 00 00       jz 0x7f9ad43a55e0
0x7F9AD43A4F68::libc.so.6  48 89 D8                mov rax, rbx
0x7F9AD43A4F6B::libc.so.6  48 C1 E8 06             shr rax, 0x6
0x7F9AD43A4F6F::libc.so.6  48 83 F8 30             cmp rax, 0x30
0x7F9AD43A4F73::libc.so.6  0F 86 17 03 00 00       jbe 0x7f9ad43a5290
0x7F9AD43A4F79::libc.so.6  48 89 D8                mov rax, rbx
0x7F9AD43A4F7C::libc.so.6  48 C1 E8 09             shr rax, 0x9
0x7F9AD43A4F80::libc.so.6  48 83 F8 14             cmp rax, 0x14
0x7F9AD43A4F84::libc.so.6  0F 87 8E 04 00 00       jnbe 0x7f9ad43a5418
0x7F9AD43A4F8A::libc.so.6  83 C0 5B                add eax, 0x5b
0x7F9AD43A4F8D::libc.so.6  89 44 24 48             mov dword ptr [rsp+0x48], eax
